16:39:49.530413 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
16:39:56.681216 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.681241 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.681761 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.682378 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.682992 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.683661 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.684322 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.684971 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.685621 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.686302 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.686957 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.687575 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.688193 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.688795 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.689412 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.690031 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.690651 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.691269 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.691888 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.692490 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.693107 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.693729 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.694347 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.694951 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.695569 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.696187 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.696791 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.697433 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.698077 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.698718 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.699361 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.700003 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.700628 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.701271 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.701913 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.702556 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.703198 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.703840 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.704426 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.705067 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.705709 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.706351 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.706993 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.707639 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.708327 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.708971 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.709617 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.710261 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.710892 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.711546 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.712190 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.712837 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.713481 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.714125 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.714769 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.715413 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.716056 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.716701 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.717359 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.718005 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.718651 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.719295 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.719940 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.720584 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.721229 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.721876 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.722520 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.723163 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.723810 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.724456 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.725099 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.725743 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.726388 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.727041 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.727685 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.728324 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.728969 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.729613 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.730258 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.730902 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.731545 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.732190 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.732836 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.733479 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.734122 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.734766 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.735410 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.736054 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.736700 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.737344 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
