12:53:29.105601 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. (141)
12:55:25.221127 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.221639 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.222210 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.222783 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.223356 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.223924 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.224501 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.225075 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.225648 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.226217 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.226794 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.227380 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.227958 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.228553 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.229140 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.229708 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.230279 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.230852 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.231424 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.231997 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.232569 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.233141 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.233712 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.234287 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.234874 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.235460 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.236026 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.236611 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.237194 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.237778 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.238356 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.238930 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.239501 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.240073 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.240655 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.241238 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.241820 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.242404 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.242983 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.243587 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.244221 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.244813 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.245394 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.245974 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.246553 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.247130 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
